timestamp,price_buy,price_sell
1613343600,0.01,0.14
1613344500,0.01,0.14
1613345400,0.01,0.14
1613346300,0.01,0.14
1613347200,0.01,0.14
1613348100,0.01,0.14
1613349000,0.01,0.14
1613349900,0.01,0.14
1613350800,0.01,0.14
1613351700,0.01,0.14
1613352600,0.01,0.14
1613353500,0.01,0.14
1613354400,0.01,0.14
1613355300,0.01,0.14
1613356200,0.01,0.14
1613357100,0.01,0.14
1613358000,0.01,0.14
1613358900,0.01,0.14
1613359800,0.01,0.14
1613360700,0.01,0.14
1613361600,0.01,0.14
1613362500,0.01,0.14
1613363400,0.01,0.14
1613364300,0.01,0.14
1613365200,0.01,0.14
1613366100,0.01,0.14
1613367000,0.01,0.14
1613367900,0.01,0.14
1613368800,0.01,0.14
1613369700,0.01,0.14
1613370600,0.01,0.14
1613371500,0.01,0.14
1613372400,0.01,0.14
1613373300,0.01,0.14
1613374200,0.01,0.14
1613375100,0.01,0.14
1613376000,0.01,0.14
1613376900,0.01,0.14
1613377800,0.01,0.14
1613378700,0.01,0.14
1613379600,0.01,0.14
1613380500,0.01,0.14
1613381400,0.01,0.14
1613382300,0.01,0.14
1613383200,0.01,0.14
1613384100,0.01,0.14
1613385000,0.01,0.14
1613385900,0.01,0.14
1613386800,0.01,0.14
1613387700,0.01,0.14
1613388600,0.01,0.14
1613389500,0.01,0.14
1613390400,0.01,0.14
1613391300,0.01,0.14
1613392200,0.01,0.14
1613393100,0.01,0.14
1613394000,0.01,0.14
1613394900,0.01,0.14
1613395800,0.01,0.14
1613396700,0.01,0.14
1613397600,0.01,0.14
1613398500,0.01,0.14
1613399400,0.01,0.14
1613400300,0.01,0.14
1613401200,0.01,0.14
1613402100,0.01,0.14
1613403000,0.01,0.14
1613403900,0.01,0.14
1613404800,0.01,0.14
1613405700,0.01,0.14
1613406600,0.01,0.14
1613407500,0.01,0.14
1613408400,0.01,0.14
1613409300,0.01,0.14
1613410200,0.01,0.14
1613411100,0.01,0.14
1613412000,0.01,0.14
1613412900,0.01,0.14
1613413800,0.01,0.14
1613414700,0.01,0.14
1613415600,0.01,0.14
1613416500,0.01,0.14
1613417400,0.01,0.14
1613418300,0.01,0.14
1613419200,0.01,0.14
1613420100,0.01,0.14
1613421000,0.01,0.14
1613421900,0.01,0.14
1613422800,0.01,0.14
1613423700,0.01,0.14
1613424600,0.01,0.14
1613425500,0.01,0.14
1613426400,0.01,0.14
1613427300,0.01,0.14
1613428200,0.01,0.14
1613429100,0.01,0.14
1613430000,0.01,0.14
1613430900,0.01,0.14
1613431800,0.01,0.14
1613432700,0.01,0.14
1613433600,0.01,0.14
1613434500,0.01,0.14
1613435400,0.01,0.14
1613436300,0.01,0.14
1613437200,0.01,0.14
1613438100,0.01,0.14
1613439000,0.01,0.14
1613439900,0.01,0.14
1613440800,0.01,0.14
1613441700,0.01,0.14
1613442600,0.01,0.14
1613443500,0.01,0.14
1613444400,0.01,0.14
1613445300,0.01,0.14
1613446200,0.01,0.14
1613447100,0.01,0.14
1613448000,0.01,0.14
1613448900,0.01,0.14
1613449800,0.01,0.14
1613450700,0.01,0.14
1613451600,0.01,0.14
1613452500,0.01,0.14
1613453400,0.01,0.14
1613454300,0.01,0.14
1613455200,0.01,0.14
1613456100,0.01,0.14
1613457000,0.01,0.14
1613457900,0.01,0.14
1613458800,0.01,0.14
1613459700,0.01,0.14
1613460600,0.01,0.14
1613461500,0.01,0.14
1613462400,0.01,0.14
1613463300,0.01,0.14
1613464200,0.01,0.14
1613465100,0.01,0.14
1613466000,0.01,0.14
1613466900,0.01,0.14
1613467800,0.01,0.14
1613468700,0.01,0.14
